"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Ursidae"
"Access Time","Wed 2017-02-22 07:50:18 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Ursidae"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0316"
"Records Found","772"
"Records Returned","772"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"195611","occ","","","20117","Ursus americanus","species","52602","","Ursus americanus","species","52602","Blancan","","4.9","1.8","1186"
"195687","occ","","","20120","Arctodus cf. simus","species","44277","","Arctodus simus","species","44309","Blancan","","4.9","1.8","1186"
"195837","occ","","","20125","Tremarctos sp.","genus","41328","","Tremarctos","genus","41328","Irvingtonian","","1.8","0.3","1186"
"196043","occ","","","20145","Arctodus pristinus","species","44276","","Arctodus pristinus","species","44276","Irvingtonian","","1.8","0.3","1457"
"196144","occ","","","20161","Arctodus sp.","genus","41308","","Arctodus","genus","41308","Irvingtonian","","1.8","0.3","1395"
"196439","occ","","","20206","Arctodus simus","species","44277","","Arctodus simus","species","44309","Irvingtonian","","1.8","0.3","2725"
"196654","occ","","","20273","Arctodus sp.","genus","41308","","Arctodus","genus","41308","Irvingtonian","","1.8","0.3","2016"
"196655","occ","","","20273","cf. Ursus sp.","genus","41331","","Ursus","genus","41331","Irvingtonian","","1.8","0.3","2016"
"196735","occ","9303","","20283","Arctodus pristinus","species","44276","","Arctodus pristinus","species","44276","Irvingtonian","","1.8","0.3","1324"
"196761","occ","","","20285","Arctodus pristinus","species","44276","","Arctodus pristinus","species","44276","Irvingtonian","","1.8","0.3","1482"
"196818","occ","","","20289","Arctodus pristinus","species","44276","","Arctodus pristinus","species","44276","Irvingtonian","","1.8","0.3","2436"
"196847","occ","9347","","20290","Ursus americanus","species","52602","","Ursus americanus","species","52602","Irvingtonian","","1.8","0.3","6294"
"196955","occ","","","20297","Ursus sp.","genus","41331","","Ursus","genus","41331","Irvingtonian","","1.8","0.3","2772"
"196984","occ","","","20299","Arctodus pristinus","species","44276","","Arctodus pristinus","species","44276","Irvingtonian","","1.8","0.3","2615"
"197035","occ","9394","","20302","Ursus americanus","species","52602","","Ursus americanus","species","52602","Irvingtonian","","1.8","0.3","6294"
"197036","occ","","","20302","Arctodus pristinus","species","44276","","Arctodus pristinus","species","44276","Irvingtonian","","1.8","0.3","1725"
"197037","occ","","","20302","Tremarctos floridanus","species","52411","","Tremarctos floridanus","species","44274","Irvingtonian","","1.8","0.3","1725"
"197188","occ","","","20310","Arctodus simus","species","44277","","Arctodus simus","species","44309","Irvingtonian","","1.8","0.3","4222"
"197266","occ","","","20319","Arctodus sp.","genus","41308","","Arctodus","genus","41308","Irvingtonian","","1.8","0.3","2887"
"197295","occ","","","20322","Tremarctos cf. floridanus","species","52411","","Tremarctos floridanus","species","44274","Blancan","","4.9","1.8","2245"
"197357","occ","","","20327","Arctodus sp.","genus","41308","","Arctodus","genus","41308","Irvingtonian","","1.8","0.3","1399"
"197501","occ","","","20347","Arctodus simus","species","44277","","Arctodus simus","species","44309","Irvingtonian","","1.8","0.3","1916"
"197545","occ","","","20350","Arctodus pristinus","species","44276","","Arctodus pristinus","species","44276","Irvingtonian","","1.8","0.3","2615"
"197622","occ","","","20354","Ursus americanus","species","52602","","Ursus americanus","species","52602","Irvingtonian","","1.8","0.3","1727"
"197795","occ","","","20384","Arctodus pristinus","species","44276","","Arctodus pristinus","species","44276","Blancan","","4.9","1.8","3580"
"197979","occ","","","20398","Tremarctos floridanus","species","52411","","Tremarctos floridanus","species","44274","Rancholabrean","","0.3","0.012","2611"
"197994","occ","","","20400","Arctodus pristinus","species","44276","","Arctodus pristinus","species","44276","Irvingtonian","","1.8","0.3","1960"
"198019","occ","","","20401","Arctodus pristinus","species","44276","","Arctodus pristinus","species","44276","Irvingtonian","","1.8","0.3","1960"
"198041","occ","","","20403","Arctodus pristinus","species","44276","","Arctodus pristinus","species","44276","Irvingtonian","","1.8","0.3","1960"
"198117","occ","","","20415","Arctodus pristinus","species","44276","","Arctodus pristinus","species","44276","Irvingtonian","","1.8","0.3","2615"
"198434","occ","","","20475","Arctodus pristinus","species","44276","","Arctodus pristinus","species","44276","Irvingtonian","","1.8","0.3","2615"
"198515","occ","","","20479","Euarctos americanus","species","104038","recombined as","Ursus americanus","species","52602","Irvingtonian","","1.8","0.3","1628"
"198516","occ","","","20479","Arctodus n. sp. haplodon","species","44275","subjective synonym of","Arctodus pristinus","species","44276","Irvingtonian","","1.8","0.3","1628"
"198608","occ","","","20491","Tremarctos floridanus","species","52411","","Tremarctos floridanus","species","44274","Rancholabrean","","0.3","0.012","3580"
"198609","occ","","","20491","Ursus americanus","species","52602","","Ursus americanus","species","52602","Rancholabrean","","0.3","0.012","3580"
"198650","occ","","","20494","Arctodus pristinus","species","44276","","Arctodus pristinus","species","44276","Irvingtonian","","1.8","0.3","2615"
"198675","occ","","","20498","Arctodus simus","species","44277","","Arctodus simus","species","44309","Irvingtonian","","1.8","0.3","6206"
"198873","occ","","","20520","Ursus americanus","species","52602","","Ursus americanus","species","52602","Irvingtonian","","1.8","0.3","3567"
"198874","occ","","","20520","Tremarctos floridanus","species","52411","","Tremarctos floridanus","species","44274","Irvingtonian","","1.8","0.3","3567"
"198906","occ","","","20524","Arctodus pristinus","species","44276","","Arctodus pristinus","species","44276","Irvingtonian","","1.8","0.3","1457"
"198989","occ","","","20537","Arctodus cf. pristinus","species","44276","","Arctodus pristinus","species","44276","Irvingtonian","","1.8","0.3","1457"
"199035","occ","","","20554","Ursus americanus","species","52602","","Ursus americanus","species","52602","Irvingtonian","","1.8","0.3","6221"
"199071","occ","","","20556","Ursus americanus","species","52602","","Ursus americanus","species","52602","Irvingtonian","","1.8","0.3","2896"
"199208","occ","","","20569","Arctodus simus","species","44277","","Arctodus simus","species","44309","Late Pleistocene","","0.126","0.0117","1936"
"199209","occ","","","20569","Ursus sp.","genus","41331","","Ursus","genus","41331","Late Pleistocene","","0.126","0.0117","6225"
"199251","occ","","","20571","Ursus americanus","species","52602","","Ursus americanus","species","52602","Late Pleistocene","","0.126","0.0117","3567"
"199272","occ","","","20572","Ursus americanus","species","52602","","Ursus americanus","species","52602","Late Pleistocene","","0.126","0.0117","3567"
"199394","occ","","","20590","Arctodus simus","species","44277","","Arctodus simus","species","44309","Late Pleistocene","","0.126","0.0117","1785"
"199414","occ","","","20593","Tremarctos floridanus","species","52411","","Tremarctos floridanus","species","44274","Late Pleistocene","","0.126","0.0117","3567"
"199490","occ","","","20600","Ursus cf. americanus","species","52602","","Ursus americanus","species","52602","Late Pleistocene","","0.126","0.0117","2727"
"199522","occ","","","20604","Ursidae indet.","family","41301","","Ursidae","family","41301","Late Pleistocene","","0.126","0.0117","1962"
"199565","occ","","","20605","Arctodus simus","species","44277","","Arctodus simus","species","44309","Late Pleistocene","","0.126","0.0117","1907"
"199838","occ","","","20636","Ursus americanus","species","52602","","Ursus americanus","species","52602","Late Pleistocene","","0.126","0.0117","3567"
"199839","occ","","","20636","Tremarctos floridanus","species","52411","","Tremarctos floridanus","species","44274","Late Pleistocene","","0.126","0.0117","3567"
"199969","occ","","","20647","Ursus americanus","species","52602","","Ursus americanus","species","52602","Late Pleistocene","","0.126","0.0117","3567"
"199999","occ","","","20650","Tremarctos floridanus","species","52411","","Tremarctos floridanus","species","44274","Late Pleistocene","","0.126","0.0117","3567"
